filename,channels,samples,sample_rate,duration_seconds,data_shape
G_S0021_M3_E4_R2_nan_raw_ref.mat,6,83800,200.0,419.0,"(6, 83800)"
G_S0021_M3_E4_R3_nan_raw_ref.mat,6,40000,200.0,200.0,"(6, 40000)"
G_S0022_M2_E0_R2_nan_raw_ref.mat,6,154000,200.0,770.0,"(6, 154000)"
G_S0022_M2_E0_R3_nan_raw_ref.mat,6,84000,200.0,420.0,"(6, 84000)"
G_S0022_M2_E2_R6_nan_raw_ref.mat,6,66000,200.0,330.0,"(6, 66000)"
G_S0022_M2_E2_R9_nan_raw_ref.mat,6,206000,200.0,1030.0,"(6, 206000)"
G_S0022_M2_E3_R4_nan_raw_ref.mat,6,6000,200.0,30.0,"(6, 6000)"
G_S0022_M2_E3_R8_nan_raw_ref.mat,6,28000,200.0,140.0,"(6, 28000)"
G_S0022_M2_E4_R5_nan_raw_ref.mat,6,30000,200.0,150.0,"(6, 30000)"
G_S0023_M1_E0_R7_N2_raw_ref.mat,6,158800,200.0,794.0,"(6, 158800)"
G_S0023_M1_E0_R8_N1_raw_ref.mat,6,16000,200.0,80.0,"(6, 16000)"
G_S0023_M1_E2_R1_N1_raw_ref.mat,6,32000,200.0,160.0,"(6, 32000)"
G_S0023_M1_E2_R6_N1_raw_ref.mat,6,30000,200.0,150.0,"(6, 30000)"
G_S0023_M1_E3_R3_N2_raw_ref.mat,6,18000,200.0,90.0,"(6, 18000)"
G_S0023_M1_E3_R5_N1_raw_ref.mat,6,24000,200.0,120.0,"(6, 24000)"
G_S0023_M1_E4_R2_N1_raw_ref.mat,6,24000,200.0,120.0,"(6, 24000)"
G_S0031_M1_E0_R1_nan_raw_ref.mat,6,44400,200.0,222.0,"(6, 44400)"
G_S0031_M1_E0_R2_nan_raw_ref.mat,6,42200,200.0,211.0,"(6, 42200)"
G_S0031_M1_E2_R10_nan_raw_ref.mat,6,36000,200.0,180.0,"(6, 36000)"
G_S0031_M1_E2_R5_nan_raw_ref.mat,6,51400,200.0,257.0,"(6, 51400)"
G_S0031_M1_E2_R6_nan_raw_ref.mat,6,72000,200.0,360.0,"(6, 72000)"
